Test ID,Scenario,Run,Label,Minute,AP_RSSI,AP_Tx Rate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,Client_RSSI,Client_Tx Rate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std. Dev,GoPing_Loss
100,5,2,0,Min 09,-66,65,-95,MCS7,35,0.906852,-67,65,-95,MCS7,52.6,0.887123,550.61,752.0451231527,843.52,34.7220257371,0
101,1,3,0,Min 00,-66,65,-95,MCS7,57.2,0.882077,-67,65,-95,MCS7,54.1,0.851979,1.4,645.4405769231,848.09,225.7902637109,0.12
102,1,3,0,Min 01,-67,65,-95,MCS7,54.7,0.896738,-67,65,-95,MCS7,54.3,0.869139,656.83,756.5875890985,837.83,32.2352008892,0
103,1,3,1,Min 02,-67,65,-95,MCS7,56.9,0.896792,-67,65,-95,MCS7,54.1,0.874386,158.91,447.1184468085,695.12,55.2582663878,0.05
104,1,3,0,Min 03,-67,65,-95,MCS7,54.6,0.897271,-65,65,-95,MCS7,52,0.879975,357.55,692.7938053097,886.62,129.5628468119,0
105,1,3,0,Min 04,-68,65,-95,MCS7,54.1,0.897969,-67,65,-95,MCS7,49.4,0.881,663.23,758.1652978723,845.59,34.6367459932,0
106,1,3,0,Min 05,-68,65,-95,MCS7,56.9,0.897859,-67,65,-95,MCS7,54.1,0.88124,674.1,756.9204100228,864.84,33.1988949142,0
107,1,3,0,Min 06,-67,65,-95,MCS7,56.9,0.897928,-66,65,-95,MCS7,54.1,0.881063,647.92,753.0853448276,837.42,31.2097654487,0
108,1,3,0,Min 07,-67,65,-95,MCS7,56.9,0.898481,-65,65,-95,MCS7,54.1,0.88145,279.64,730.6753894737,852.27,87.2738472553,0.02
109,1,3,1,Min 08,-68,65,-95,MCS7,57.2,0.898482,-67,65,-95,MCS7,52.9,0.882491,266.41,466.5940091116,673.77,54.6760764136,0.01
110,1,3,0,Min 09,-67,65,-95,MCS7,56.9,0.898343,-68,65,-95,MCS7,54.1,0.882145,642.23,758.9910054348,872.32,35.2523043777,0
111,2,3,0,Min 00,-67,65,-95,MCS7,57.2,0.889052,-67,65,-95,MCS7,54.9,0.873069,1.55,657.1389342404,836.32,204.8884522653,0.09
112,2,3,0,Min 01,-69,65,-95,MCS7,54.1,0.893702,-66,65,-95,MCS7,54.1,0.880317,445.76,749.774612069,854.43,50.1121701426,0
113,2,3,1,Min 02,-67,65,-95,MCS7,56.9,0.895839,-67,65,-95,MCS7,51.5,0.883178,273.1,415.2000429185,544.28,55.3165252843,0.01
114,2,3,0,Min 03,-68,65,-95,MCS7,57.2,0.896259,-67,65,-95,MCS7,50.8,0.88133,357.25,704.6320886076,851.86,122.2265067797,0
115,2,3,0,Min 04,-67,65,-95,MCS7,56.9,0.896226,-66,65,-95,MCS7,54.1,0.881147,651.18,757.3642982456,872.33,34.6078450433,0
116,2,3,0,Min 05,-67,65,-95,MCS7,56.9,0.896985,-67,65,-95,MCS7,54.1,0.882033,668.76,754.332244898,882.95,31.874345891,0
117,2,3,0,Min 06,-67,65,-95,MCS7,57.2,0.897669,-67,65,-95,MCS7,52.9,0.882164,665.52,755.8325211864,828.31,32.9456527153,0
118,2,3,0,Min 07,-68,65,-95,MCS7,53.8,0.897978,-67,65,-95,MCS7,51.5,0.882044,233.51,705.9106136364,836.77,142.2188231687,0.06
119,2,3,1,Min 08,-68,65,-95,MCS7,56.9,0.898004,-68,65,-95,MCS7,50.5,0.882696,223.03,348.9381818182,498.01,39.3620251219,0
120,2,3,0,Min 09,-67,65,-95,MCS7,56.1,0.898463,-67,65,-95,MCS7,53.7,0.883164,492.87,729.074386921,869.57,58.6851375295,0
121,3,3,0,Min 00,-67,65,-95,MCS7,56.9,0.896586,-67,65,-95,MCS7,54.9,0.861986,1.56,650.4672972973,847.08,224.5027910637,0.06
122,3,3,0,Min 01,-67,65,-95,MCS7,56.9,0.897667,-68,65,-95,MCS7,54.1,0.859745,340.78,751.619688196,843.49,44.3711020084,0.01
123,3,3,1,Min 02,-67,65,-95,MCS7,57.2,0.898952,-67,65,-95,MCS7,50.8,0.864857,168.74,281.4069978858,359.86,35.8457431884,0.02
124,3,3,0,Min 03,-68,65,-95,MCS7,57.2,0.898272,-67,65,-95,MCS7,50.3,0.869415,262.34,683.605,847,145.1202826427,0
125,3,3,0,Min 04,-69,65,-95,MCS7,56.9,0.898703,-67,65,-95,MCS7,54.1,0.872043,641.34,754.4426122449,852.95,34.0170876465,0
126,3,3,0,Min 05,-69,65,-95,MCS7,56.9,0.898276,-65,65,-95,MCS7,54.9,0.874344,678.92,756.4913684211,877,35.4783918466,0
127,3,3,0,Min 06,-67,65,-95,MCS7,56.9,0.898355,-65,65,-95,MCS7,54.1,0.875827,656.51,752.3008067941,846.63,34.2095744502,0
128,3,3,0,Min 07,-66,65,-95,MCS7,55.9,0.898632,-66,65,-95,MCS7,52.9,0.877772,31.86,715.2385115304,869.84,147.7410033035,0.04
129,3,3,1,Min 08,-68,65,-95,MCS7,56.9,0.898614,-65,65,-95,MCS7,51.4,0.877806,187.77,277.5651124744,373.52,29.1384485672,0
130,3,3,0,Min 09,-67,65,-95,MCS7,56.9,0.898293,-67,65,-95,MCS7,52.4,0.878263,248.9,686.2542779292,845.63,159.304197541,0
131,4,3,0,Min 00,-68,65,-95,MCS7,57.2,0.859914,-67,65,-95,MCS7,54.1,0.888742,3.12,631.1052369668,853.17,238.8358671241,0.1
132,4,3,0,Min 01,-68,65,-95,MCS7,56.9,0.896533,-68,65,-95,MCS7,52.9,0.884,682.01,759.001069869,860.66,33.386986717,0
133,4,3,1,Min 02,-67,65,-95,MCS7,51.4,0.897402,-67,65,-95,MCS7,43.6,0.883896,1.62,67.5957084189,751.56,86.9446290592,0.04
134,4,3,0,Min 03,-67,65,-95,MCS7,56.7,0.897851,-66,65,-95,MCS7,48.3,0.883947,323.53,741.558389662,855.72,63.1656959931,0
135,4,3,0,Min 04,-68,65,-95,MCS7,56.9,0.897809,-68,65,-95,MCS7,54.1,0.882518,648.84,754.5246547884,843.99,33.8904911923,0
136,4,3,0,Min 05,-67,65,-95,MCS7,56.9,0.898189,-67,65,-95,MCS7,54.1,0.882543,682.9,754.1715081207,846.28,32.2320973644,0
137,4,3,0,Min 06,-67,65,-95,MCS7,57.2,0.898482,-67,65,-95,MCS7,54.9,0.881622,674.6,757.7055532359,849.77,31.9006265352,0
138,4,3,0,Min 07,-69,65,-95,MCS7,56.9,0.899057,-67,65,-95,MCS7,54.9,0.881665,51.99,695.8295414847,854.19,188.8650261823,0.04
139,4,3,1,Min 08,-68,65,-95,MCS7,35,0.899182,-67,65,-95,MCS7,35,0.881645,1.4,112.1595238095,739.99,176.6881813231,0
