@relation Results.Binary.Updated

@attribute TestID numeric
@attribute AP_RSSI numeric
@attribute AP_TxRate numeric
@attribute AP_Noise numeric
@attribute AP_MCS {MCS7,MCS6,MCS5,MCS4,MCS2,MCS1,MCS0,5.5M,MCS3}
@attribute AP_Throughput numeric
@attribute AP_FDR numeric
@attribute Client_RSSI numeric
@attribute Client_TxRate numeric
@attribute Client_Noise numeric
@attribute Client_MCS {MCS7,MCS5,MCS4,MCS3,MCS2,MCS1,MCS0,5.5M,MCS6,11.0M}
@attribute Client_Throughput numeric
@attribute Client_FDR numeric
@attribute iPerf_Throughput numeric
@attribute GoPing_Min numeric
@attribute GoPing_Avg numeric
@attribute GoPing_Max numeric
@attribute GoPing_Std.Dev numeric
@attribute GoPing_Loss numeric
@attribute class {0,1}

@data
112,-69,65,-95,MCS7,54.1,0.893702,-66,65,-95,MCS7,54.1,0.880317,43.583333,445.76,749.774612,854.43,50.11217,0,0
113,-67,65,-95,MCS7,56.9,0.895839,-67,65,-95,MCS7,51.5,0.883178,28.46,273.1,415.200043,544.28,55.316525,0.01,1
114,-68,65,-95,MCS7,57.2,0.896259,-67,65,-95,MCS7,50.8,0.88133,42.626667,357.25,704.632089,851.86,122.226507,0,0
115,-67,65,-95,MCS7,56.9,0.896226,-66,65,-95,MCS7,54.1,0.881147,43.3,651.18,757.364298,872.33,34.607845,0,0
116,-67,65,-95,MCS7,56.9,0.896985,-67,65,-95,MCS7,54.1,0.882033,43.406667,668.76,754.332245,882.95,31.874346,0,0
117,-67,65,-95,MCS7,57.2,0.897669,-67,65,-95,MCS7,52.9,0.882164,43.403333,665.52,755.832521,828.31,32.945653,0,0
118,-68,65,-95,MCS7,53.8,0.897978,-67,65,-95,MCS7,51.5,0.882044,43.16,233.51,705.910614,836.77,142.218823,0.06,0
119,-68,65,-95,MCS7,56.9,0.898004,-68,65,-95,MCS7,50.5,0.882696,23.59,223.03,348.938182,498.01,39.362025,0,1
120,-67,65,-95,MCS7,56.1,0.898463,-67,65,-95,MCS7,53.7,0.883164,42.796667,492.87,729.074387,869.57,58.685138,0,0
121,-67,65,-95,MCS7,56.9,0.896586,-67,65,-95,MCS7,54.9,0.861986,43.786207,1.56,650.467297,847.08,224.502791,0.06,0
122,-67,65,-95,MCS7,56.9,0.897667,-68,65,-95,MCS7,54.1,0.859745,43.36,340.78,751.619688,843.49,44.371102,0.01,0
123,-67,65,-95,MCS7,57.2,0.898952,-67,65,-95,MCS7,50.8,0.864857,18.42,168.74,281.406998,359.86,35.845743,0.02,1
124,-68,65,-95,MCS7,57.2,0.898272,-67,65,-95,MCS7,50.3,0.869415,42.586667,262.34,683.605,847,145.120283,0,0
125,-69,65,-95,MCS7,56.9,0.898703,-67,65,-95,MCS7,54.1,0.872043,43.37,641.34,754.442612,852.95,34.017088,0,0
126,-69,65,-95,MCS7,56.9,0.898276,-65,65,-95,MCS7,54.9,0.874344,43.473333,678.92,756.491368,877,35.478392,0,0
127,-67,65,-95,MCS7,56.9,0.898355,-65,65,-95,MCS7,54.1,0.875827,43.34,656.51,752.300807,846.63,34.209574,0,0
128,-66,65,-95,MCS7,55.9,0.898632,-66,65,-95,MCS7,52.9,0.877772,43.483333,31.86,715.238512,869.84,147.741003,0.04,0
129,-68,65,-95,MCS7,56.9,0.898614,-65,65,-95,MCS7,51.4,0.877806,13.381071,187.77,277.565112,373.52,29.138449,0,1
