@relation attenuation

@attribute Test_ID numeric
@attribute Scenario numeric
@attribute Run numeric
@attribute Minute {Min00,Min01,Min02,Min03,Min04,Min05,Min06,Min07,Min08,Min09}
@attribute AP_RSSI numeric
@attribute AP_TxRate numeric
@attribute AP_Noise numeric
@attribute AP_MCS {MCS7,MCS6,MCS5,MCS4,MCS2,MCS1,MCS0,5.5M,MCS3}
@attribute AP_Throughput numeric
@attribute AP_FDR numeric
@attribute Client_RSSI numeric
@attribute Client_TxRate numeric
@attribute Client_Noise numeric
@attribute Client_MCS {MCS7,MCS5,MCS4,MCS3,MCS2,MCS1,MCS0,5.5M,MCS6,11.0M}
@attribute Client_Throughput numeric
@attribute Client_FDR numeric
@attribute GoPing_Min numeric
@attribute GoPing_Avg numeric
@attribute GoPing_Max numeric
@attribute GoPing_Std_Dev numeric
@attribute GoPing_Loss numeric
@attribute class {0,1}

@data
68,2,2,Min07,-67,65,-95,MCS7,57.2,0.89687,-67,65,-95,MCS7,49.2,0.87939,629.84,810.980401,2471.28,223.87543,0,0
69,2,2,Min08,-76,39,-95,MCS4,33.7,0.89683,-75,39,-95,MCS4,28.5,0.754312,700,1358.397095,1791.85,219.70848,0,1
70,2,2,Min09,-67,65,-95,MCS7,56.9,0.89512,-67,65,-95,MCS7,45.9,0.877518,680.41,754.776719,884.19,33.308041,0,0
71,3,2,Min00,-66,65,-95,MCS7,57.2,0.89673,-67,65,-95,MCS7,54.1,0.879114,1.5,655.74789,838.83,210.514437,0.09,0
72,3,2,Min01,-67,65,-95,MCS7,56.9,0.901268,-67,65,-95,MCS7,48.3,0.887369,659.45,753.48015,840.1,34.468175,0,0
73,3,2,Min02,-78,39,-95,MCS4,24.7,0.699175,-78,39,-95,MCS4,21.3,0.692874,550.89,1731.751783,2707.3,290.595893,0.03,1
74,3,2,Min03,-67,65,-95,MCS7,56.9,0.703308,-67,65,-95,MCS7,53.4,0.882451,678.53,757.660367,865.79,32.995721,0,0
75,3,2,Min04,-67,65,-95,MCS7,56.9,0.895911,-67,65,-95,MCS7,54.1,0.882171,634.12,755.306928,845.83,31.920204,0,0
76,3,2,Min05,-67,65,-95,MCS7,56.1,0.896603,-67,65,-95,MCS7,54.1,0.882334,663.54,758.536047,853.16,32.510361,0,0
77,3,2,Min06,-68,65,-95,MCS7,57.2,0.896865,-67,65,-95,MCS7,54.1,0.883109,645.8,748.45753,829.63,33.065447,0,0
