Test ID,AP_RSSI,AP_Tx_Rate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,iPerf_Throughput,Client_RSSI,Client_Tx_Rate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std_Dev,GoPing_Loss,Label
602,-67,54,-95,MCS7,56.9,0.900758,43.34,-68,65,-95,MCS7,51.2,0.879439,669.46,756.6468653422,851.3,32.8028423481,0,0
603,-72,54,-95,MCS7,55.2,0.900453,43.39,-66,65,-95,MCS7,52.1,0.88254,676.96,755.3660569106,861.31,34.1962852411,0,0
604,-73,54,-95,MCS7,51.5,0.892018,38.33,-67,65,-95,MCS7,48.5,0.866907,710.55,864.0385064935,1048.04,53.6651196882,0,1
605,-73,54,-95,MCS7,56.9,0.887822,43.026667,-66,65,-95,MCS7,47.4,0.865536,671.79,755.0634328358,858.09,33.0291466223,0,0
606,-69,54,-95,MCS7,56.9,0.889523,43.253333,-67,65,-95,MCS7,54.9,0.873363,679.71,760.6978691983,855.24,32.8128749799,0,0
607,-72,54,-95,MCS7,56.9,0.890795,43.563333,-65,65,-95,MCS7,50.3,0.874652,670.69,760.6925254582,937.49,43.1419541405,0,0
608,-75,54,-95,MCS7,52,0.88868,37.796667,-68,65,-95,MCS7,50.6,0.872956,713.48,871.0510309278,1062.02,57.7128588556,0,1
609,-73,54,-95,MCS7,56.6,0.886673,42.83,-66,65,-95,MCS7,50,0.870574,680.33,758.4506153846,854.02,34.22494798,0,0
610,-74,54,-95,MCS7,54.4,0.887416,43.233333,-66,65,-95,MCS7,48.3,0.865144,668.79,757.235698324,884.01,34.13864686,0,0
611,-73,54,-95,MCS7,56.9,0.896488,43.827586,-67,65,-95,MCS7,49.5,0.867492,1.23,636.5937149028,862.01,231.4613393494,0.11,0
612,-72,54,-95,MCS7,55.8,0.896894,43.776667,-66,65,-95,MCS7,48.3,0.869521,414.69,755.5416488223,1140.13,57.8965602716,0,0
613,-68,54,-95,MCS7,56.9,0.901347,43.543333,-67,65,-95,MCS7,54.1,0.868746,618.51,752.1308747515,847.2,32.8013472974,0,0
614,-72,54,-95,MCS7,57.2,0.828145,34.486667,-68,65,-95,MCS7,46.5,0.842039,686.99,967.9715604396,1200.91,80.0098138485,0,1
615,-73,54,-95,MCS7,49.7,0.811912,42.483333,-65,65,-95,MCS7,48.8,0.857759,650.35,768.3488675214,1039.66,53.3475413186,0,0
616,-72,54,-95,MCS7,56.9,0.885799,43.34,-68,65,-95,MCS7,54.1,0.859556,597.18,754.3944060475,836.67,34.088819852,0,0
617,-67,54,-95,MCS7,56.9,0.888185,43.66,-67,65,-95,MCS7,54.1,0.839166,653.4,750.783117506,872.48,32.087344209,0,0
618,-72,54,-95,MCS7,50.3,0.885963,35.243333,-68,65,-95,MCS7,47.4,0.843294,648.17,961.2635022026,1140.72,69.0184403172,0,1
619,-73,54,-95,MCS7,57.2,0.882566,42.163333,-67,65,-95,MCS7,49.8,0.832306,659.9,758.5367678959,973.32,41.5720506728,0,0
620,-72,54,-95,MCS7,56.9,0.884073,43.483333,-66,65,-95,MCS7,54.9,0.859326,663.63,756.2704360465,857.33,33.9741249196,0,0
621,-73,54,-95,MCS7,52,0.899153,43.944828,-67,65,-95,MCS7,53.4,0.878787,1.57,660.2627822581,856.91,213.072810472,0.14,0
622,-67,54,-95,MCS7,53.7,0.896502,43.526667,-68,65,-95,MCS7,54.9,0.876317,667.04,754.317262181,875.44,34.6891100536,0,0
623,-67,54,-95,MCS7,57.2,0.898062,43.63,-65,65,-95,MCS7,52.4,0.878203,663.99,754.0944323144,871.14,35.2772391242,0,0
624,-72,54,-95,MCS7,43.1,0.798016,31.293333,-67,65,-95,MCS7,43.1,0.865567,744.13,1060.6494396552,1319.8,82.7570031136,0,1
625,-73,54,-95,MCS7,57.2,0.876487,42.286667,-66,65,-95,MCS7,47.4,0.825632,628.46,764.8676651982,1077.2,47.652230625,0,0
626,-75,54,-95,MCS7,56.9,0.879431,43.55,-67,65,-95,MCS7,53.2,0.862228,666.18,755.6429464286,846.09,32.0518553797,0,0
627,-71,54,-95,MCS7,56.9,0.883086,43.503333,-67,65,-95,MCS7,49.2,0.864366,645.45,757.5078280543,876.28,36.0241787116,0,0
628,-72,54,-95,MCS7,43.4,0.789611,32.486667,-67,65,-95,MCS7,48.5,0.836475,779.94,1054.9817938144,1261.57,78.7538633311,0,1
629,-72,54,-95,MCS7,56.9,0.875896,41.95,-67,65,-95,MCS7,54.1,0.8575,647.38,754.0473233405,866.02,35.2368756424,0,0
